ID,COUNT_TEMP,SEX,AGE,MARITAL_STATUS,CITY,DISTRICT,EDUCATION,ANNU_INCOME,PRIVATE_VEHICLE,COMMUTE,CHILDREN,DATE,MCC_CAT,AMOUNT,CARD_TYPE,PAYBY,MOBILE_PAYMENT,QUANTITY,AD_EXPO,AD_CLICK,AD_TIME
002404,157,男,34,1,無資料,無資料,大學,"$508,599",1,1,1,2015/08/02,電器用品,"$4,818",簽帳金融卡,信用卡,0,3,0,,
000294,61,女,44,1,台中市,北屯區,其他,"$552,459",0,1,3,2015/08/02,服飾用品,"$2,012",簽帳金融卡,信用卡,0,2,1,0,
000428,34,女,41,1,新北市,三重區,大學,"$470,000",1,1,0,2015/08/02,美妝保健,"$2,666",,貨到付款,,1,1,0,
000551,24,女,33,0,台北市,內湖區,大學,"$600,000",0,1,,2015/08/02,美妝保健,"$3,982",簽帳金融卡,信用卡,0,2,0,,
001227,87,女,28,1,台中市,大里區,其他,"$554,713",0,1,0,2015/08/02,美妝保健,"$1,071",,ATM轉帳,,2,1,0,
001093,171,女,40,1,台南市,安南區,其他,"$415,497",0,1,1,2015/08/02,美妝保健,$857,玉璽卡,信用卡,0,2,0,,
000079,10,女,25,1,桃園縣,桃園市,其他,"$514,000",0,0,1,2015/08/02,美妝保健,$678,,貨到付款,,1,0,,
000937,38,女,32,1,桃園縣,平鎮市,高中(職),"$300,000",0,1,1,2015/08/02,美妝保健,"$1,268",簽帳金融卡,信用卡,1,1,1,0,
001623,11,女,25,1,新北市,新莊區,其他,"$621,818",1,1,2,2015/08/02,服飾用品,"$2,561",玉璽卡,信用卡,0,2,1,1,13
001293,10,男,46,1,雲林縣,口湖鄉,其他,"$395,000",1,1,1,2015/08/02,美妝保健,$748,玉璽卡,信用卡,0,1,0,,
002404,157,男,34,1,無資料,無資料,大學,"$508,599",1,1,1,2015/08/02,生活百貨,"$1,566",,ATM轉帳,,1,0,,
000294,61,女,44,1,台中市,北屯區,其他,"$552,459",0,1,3,2015/08/02,美妝保健,"$1,088",,貨到付款,,3,0,,
000835,23,男,42,0,新北市,蘆洲區,專科,"$500,000",0,1,,2015/08/02,美妝保健,"$1,196",,ATM轉帳,,2,1,0,
001659,253,男,34,1,高雄市,鹽埕區,高中(職),"$539,328",1,1,2,2015/08/02,生活百貨,$888,簽帳金融卡,信用卡,0,3,1,0,
001293,10,男,46,1,雲林縣,口湖鄉,其他,"$395,000",1,1,1,2015/08/02,美妝保健,$868,玉璽卡,信用卡,0,1,0,,
001659,253,男,34,1,高雄市,鹽埕區,高中(職),"$539,328",1,1,2,2015/08/02,食品飲料,"$3,522",,貨到付款,,3,0,,
000294,61,女,44,1,台中市,北屯區,其他,"$552,459",0,1,3,2015/08/02,服飾用品,"$3,055",商務卡,信用卡,0,1,1,1,8
001559,2,男,50,1,桃園縣,觀音鄉,其他,"$540,000",1,1,3,2015/08/02,食品飲料,"$1,399",,貨到付款,,1,1,1,14
001293,10,男,46,1,雲林縣,口湖鄉,其他,"$395,000",1,1,1,2015/08/02,美妝保健,"$2,560",小資卡,信用卡,0,1,1,1,21
001293,10,男,46,1,雲林縣,口湖鄉,其他,"$395,000",1,1,1,2015/08/02,美妝保健,"$1,212",,ATM轉帳,,1,1,0,
000375,29,女,35,1,彰化縣,溪湖鎮,其他,"$444,828",0,1,1,2015/08/02,美妝保健,$496,玉璽卡,信用卡,1,2,0,,
001093,171,女,40,1,台南市,安南區,其他,"$415,497",0,1,1,2015/08/02,服飾用品,$923,商務卡,信用卡,0,1,1,0,
001227,87,女,28,1,台中市,大里區,其他,"$554,713",0,1,0,2015/08/02,服飾用品,"$1,501",,貨到付款,,2,1,1,6
000028,56,男,46,1,宜蘭縣,宜蘭市,大學,"$300,000",1,1,1,2015/08/02,服飾用品,"$1,805",,貨到付款,,1,1,0,
000795,140,女,36,1,台中市,龍井區,專科,"$400,000",1,1,0,2015/08/02,美妝保健,"$2,451",玉璽卡,信用卡,0,2,0,,
001419,26,女,35,0,台南市,安南區,高中(職),"$300,000",1,1,,2015/08/02,美妝保健,$919,玉璽卡,信用卡,0,1,1,1,22
001154,2,男,50,1,雲林縣,西螺鎮,其他,"$560,000",0,1,2,2015/08/02,電器用品,"$2,975",玉璽卡,信用卡,0,2,1,0,
000937,38,女,32,1,桃園縣,平鎮市,高中(職),"$300,000",0,1,1,2015/08/02,美妝保健,$963,玉璽卡,信用卡,1,1,0,,
000275,78,女,49,1,桃園縣,龜山鄉,其他,"$545,769",0,1,1,2015/08/02,服飾用品,$780,汽車卡,信用卡,0,1,1,1,8
001839,24,男,43,1,新北市,樹林區,大學,"$400,000",0,1,2,2015/08/02,電器用品,"$4,999",,貨到付款,,1,1,0,
001559,2,男,50,1,桃園縣,觀音鄉,其他,"$540,000",1,1,3,2015/08/02,生活百貨,$704,,貨到付款,,2,0,,
000835,23,男,42,0,新北市,蘆洲區,專科,"$500,000",0,1,,2015/08/02,電器用品,"$4,043",簽帳金融卡,信用卡,1,4,0,,
002404,157,男,34,1,無資料,無資料,大學,"$508,599",1,1,1,2015/08/02,生活百貨,"$1,458",,貨到付款,,3,0,,
001293,10,男,46,1,雲林縣,口湖鄉,其他,"$395,000",1,1,1,2015/08/02,美妝保健,"$1,122",簽帳金融卡,信用卡,1,2,0,,
001154,2,男,50,1,雲林縣,西螺鎮,其他,"$560,000",0,1,2,2015/08/02,電器用品,"$2,961",簽帳金融卡,信用卡,0,2,1,0,
000835,23,男,42,0,新北市,蘆洲區,專科,"$500,000",0,1,,2015/08/02,美妝保健,"$3,244",簽帳金融卡,信用卡,0,1,1,0,
000531,8,男,50,1,基隆市,安樂區,其他,"$300,000",1,1,0,2015/08/02,電器用品,"$3,271",小資卡,信用卡,0,1,1,0,
001227,87,女,28,1,台中市,大里區,其他,"$554,713",0,1,0,2015/08/02,服飾用品,"$2,519",小資卡,信用卡,1,2,1,1,22
000287,194,男,50,0,新竹市,新竹市,其他,"$562,629",1,0,,2015/08/02,電器用品,"$3,451",商務卡,信用卡,0,2,1,0,
001909,32,男,34,1,台東縣,台東市,其他,"$557,813",0,1,3,2015/08/02,美妝保健,"$1,266",簽帳金融卡,信用卡,0,1,1,1,17
001002,143,女,35,1,台北市,文山區,其他,"$651,958",0,1,0,2015/08/02,電器用品,"$3,896",簽帳金融卡,信用卡,0,2,0,,
001293,10,男,46,1,雲林縣,口湖鄉,其他,"$395,000",1,1,1,2015/08/02,電器用品,"$2,906",玉璽卡,信用卡,0,2,1,0,
000079,10,女,25,1,桃園縣,桃園市,其他,"$514,000",0,0,1,2015/08/02,服飾用品,"$1,566",,ATM轉帳,,1,0,,
001293,10,男,46,1,雲林縣,口湖鄉,其他,"$395,000",1,1,1,2015/08/02,美妝保健,$707,,貨到付款,,3,0,,
001097,2,男,50,1,台南市,新營區,大學,"$240,000",0,1,1,2015/08/02,生活百貨,"$3,425",,ATM轉帳,,4,0,,
001002,143,女,35,1,台北市,文山區,其他,"$651,958",0,1,0,2015/08/02,電器用品,"$5,816",,貨到付款,,4,1,0,
002056,112,男,36,1,高雄市,前鎮區,大學,"$250,000",0,1,0,2015/08/02,電器用品,"$9,661",,貨到付款,,1,1,0,
001093,171,女,40,1,台南市,安南區,其他,"$415,497",0,1,1,2015/08/02,服飾用品,$729,,貨到付款,,1,0,,
000428,34,女,41,1,新北市,三重區,大學,"$470,000",1,1,0,2015/08/02,美妝保健,"$2,876",小資卡,信用卡,0,2,1,1,20
001097,2,男,50,1,台南市,新營區,大學,"$240,000",0,1,1,2015/08/02,電器用品,"$3,195",玉璽卡,信用卡,0,2,1,0,
000835,23,男,42,0,新北市,蘆洲區,專科,"$500,000",0,1,,2015/08/02,美妝保健,"$5,376",玉璽卡,信用卡,1,2,0,,
002404,157,男,34,1,無資料,無資料,大學,"$508,599",1,1,1,2015/08/02,食品飲料,$915,,ATM轉帳,,1,1,0,
000937,38,女,32,1,桃園縣,平鎮市,高中(職),"$300,000",0,1,1,2015/08/02,美妝保健,"$1,476",簽帳金融卡,信用卡,0,4,1,1,6
001419,26,女,35,0,台南市,安南區,高中(職),"$300,000",1,1,,2015/08/02,美妝保健,"$1,030",玉璽卡,信用卡,0,1,1,0,
000308,39,男,35,0,台北市,文山區,大學,"$500,000",1,1,,2015/08/02,美妝保健,"$1,734",簽帳金融卡,信用卡,1,1,1,0,
001293,10,男,46,1,雲林縣,口湖鄉,其他,"$395,000",1,1,1,2015/08/02,美妝保健,"$2,261",商務卡,信用卡,1,2,0,,
000287,194,男,50,0,新竹市,新竹市,其他,"$562,629",1,0,,2015/08/02,生活百貨,$888,玉璽卡,信用卡,0,3,0,,
002056,112,男,36,1,高雄市,前鎮區,大學,"$250,000",0,1,0,2015/08/02,電器用品,"$6,997",簽帳金融卡,信用卡,1,1,1,0,
000835,23,男,42,0,新北市,蘆洲區,專科,"$500,000",0,1,,2015/08/02,電器用品,"$6,737",,ATM轉帳,,1,1,0,
002056,112,男,36,1,高雄市,前鎮區,大學,"$250,000",0,1,0,2015/08/02,電器用品,"$3,174",,貨到付款,,1,0,,
001002,143,女,35,1,台北市,文山區,其他,"$651,958",0,1,0,2015/08/02,美妝保健,"$1,644",簽帳金融卡,信用卡,0,2,0,,
000375,29,女,35,1,彰化縣,溪湖鎮,其他,"$444,828",0,1,1,2015/08/02,美妝保健,"$1,340",玉璽卡,信用卡,0,1,1,0,
000375,29,女,35,1,彰化縣,溪湖鎮,其他,"$444,828",0,1,1,2015/08/02,美妝保健,"$2,736",玉璽卡,信用卡,0,1,0,,
001093,171,女,40,1,台南市,安南區,其他,"$415,497",0,1,1,2015/08/02,服飾用品,$920,簽帳金融卡,信用卡,0,5,1,1,9
001249,73,女,43,1,新北市,汐止區,大學,"$750,000",0,0,1,2015/08/02,美妝保健,"$1,339",,貨到付款,,1,1,0,
002404,157,男,34,1,無資料,無資料,大學,"$508,599",1,1,1,2015/08/02,電器用品,"$4,247",,ATM轉帳,,1,1,0,
000835,23,男,42,0,新北市,蘆洲區,專科,"$500,000",0,1,,2015/08/02,美妝保健,"$1,394",簽帳金融卡,信用卡,1,2,0,,
001227,87,女,28,1,台中市,大里區,其他,"$554,713",0,1,0,2015/08/02,教育娛樂,"$1,943",小資卡,信用卡,0,2,0,,
000275,78,女,49,1,桃園縣,龜山鄉,其他,"$545,769",0,1,1,2015/08/02,教育娛樂,$866,商務卡,信用卡,0,4,0,,
000835,23,男,42,0,新北市,蘆洲區,專科,"$500,000",0,1,,2015/08/02,美妝保健,"$2,941",簽帳金融卡,信用卡,0,3,0,,
001909,32,男,34,1,台東縣,台東市,其他,"$557,813",0,1,3,2015/08/02,電器用品,"$4,119",簽帳金融卡,信用卡,0,1,1,0,
000308,39,男,35,0,台北市,文山區,大學,"$500,000",1,1,,2015/08/02,美妝保健,"$1,588",,貨到付款,,2,1,1,4
000308,39,男,35,0,台北市,文山區,大學,"$500,000",1,1,,2015/08/02,美妝保健,"$1,456",,ATM轉帳,,1,0,,
001526,26,女,50,0,桃園縣,中壢市,大學,"$400,000",0,1,,2015/08/03,美妝保健,$695,,貨到付款,,2,0,,
002060,118,男,46,1,新北市,中和區,大學,"$480,000",0,1,1,2015/08/03,食品飲料,"$1,966",商務卡,信用卡,0,3,0,,
001659,253,男,34,1,高雄市,鹽埕區,高中(職),"$539,328",1,1,2,2015/08/03,生活百貨,$934,玉璽卡,信用卡,0,3,1,0,
001431,19,女,37,1,雲林縣,二崙鄉,其他,"$345,789",1,1,1,2015/08/03,服飾用品,"$1,465",小資卡,信用卡,1,1,1,0,
001146,40,女,29,0,新北市,永和區,大學,"$480,000",1,1,,2015/08/03,服飾用品,"$2,284",玉璽卡,信用卡,0,1,1,1,10
000709,45,女,41,0,台中市,大雅區,其他,"$300,000",0,1,,2015/08/03,服飾用品,$848,簽帳金融卡,信用卡,1,1,0,,
001349,51,男,37,1,台中市,霧峰區,其他,"$531,569",1,1,2,2015/08/03,服飾用品,$897,簽帳金融卡,信用卡,0,1,0,,
001526,26,女,50,0,桃園縣,中壢市,大學,"$400,000",0,1,,2015/08/03,美妝保健,$763,小資卡,信用卡,0,1,0,,
001659,253,男,34,1,高雄市,鹽埕區,高中(職),"$539,328",1,1,2,2015/08/03,食品飲料,"$1,224",簽帳金融卡,信用卡,1,2,1,0,
001526,26,女,50,0,桃園縣,中壢市,大學,"$400,000",0,1,,2015/08/03,美妝保健,"$2,014",小資卡,信用卡,0,2,1,0,
000783,100,女,31,1,彰化縣,秀水鄉,其他,"$391,500",1,1,2,2015/08/03,美妝保健,"$1,694",玉璽卡,信用卡,0,1,0,,
001431,19,女,37,1,雲林縣,二崙鄉,其他,"$345,789",1,1,1,2015/08/03,服飾用品,"$1,292",小資卡,信用卡,0,2,1,0,
001913,22,女,36,1,新北市,淡水區,專科,"$671,364",0,1,3,2015/08/03,美妝保健,$844,簽帳金融卡,信用卡,0,1,1,1,8
001526,26,女,50,0,桃園縣,中壢市,大學,"$400,000",0,1,,2015/08/03,美妝保健,"$1,132",小資卡,信用卡,0,1,1,0,
001762,59,男,33,0,新北市,鶯歌區,高中(職),"$460,000",1,1,,2015/08/03,食品飲料,"$2,546",玉璽卡,信用卡,0,2,0,,
001210,109,女,38,1,基隆市,仁愛區,其他,"$500,000",0,1,0,2015/08/03,電器用品,"$3,697",,貨到付款,,1,1,0,
000958,3,女,50,0,彰化縣,員林鎮,其他,"$416,667",0,1,,2015/08/03,服飾用品,$623,玉璽卡,信用卡,1,1,1,0,
000212,82,男,48,0,新北市,新店區,大學,"$460,000",1,1,,2015/08/03,食品飲料,"$3,925",,貨到付款,,3,0,,
000621,36,男,41,1,無資料,無資料,高中(職),"$300,000",1,1,1,2015/08/03,美妝保健,$772,,ATM轉帳,,1,0,,
000677,6,女,50,1,台南市,東區,大學,"$400,000",0,1,3,2015/08/03,電器用品,"$4,713",玉璽卡,信用卡,0,1,1,0,
001431,19,女,37,1,雲林縣,二崙鄉,其他,"$345,789",1,1,1,2015/08/03,美妝保健,"$1,801",小資卡,信用卡,0,2,0,,
000587,45,女,36,0,桃園縣,大溪鎮,高中(職),"$240,000",0,1,,2015/08/03,服飾用品,"$1,699",玉璽卡,信用卡,1,1,1,1,9
001644,18,男,42,1,新北市,三重區,大學,"$550,000",1,1,0,2015/08/03,電器用品,"$4,279",玉璽卡,信用卡,0,1,1,0,
001431,19,女,37,1,雲林縣,二崙鄉,其他,"$345,789",1,1,1,2015/08/03,美妝保健,$811,小資卡,信用卡,1,2,1,0,
001349,51,男,37,1,台中市,霧峰區,其他,"$531,569",1,1,2,2015/08/03,服飾用品,$980,簽帳金融卡,信用卡,0,1,0,,
001762,59,男,33,0,新北市,鶯歌區,高中(職),"$460,000",1,1,,2015/08/03,服飾用品,"$1,559",,ATM轉帳,,1,1,0,
001484,46,女,35,1,南投縣,埔里鎮,大學,"$260,000",0,1,0,2015/08/03,服飾用品,"$1,115",簽帳金融卡,信用卡,0,3,1,1,12
000477,29,女,44,1,基隆市,七堵區,大學,"$10,000",1,1,1,2015/08/03,美妝保健,"$2,785",玉璽卡,信用卡,0,2,1,0,
001812,343,男,45,1,嘉義市,嘉義市,大學,"$320,000",0,1,2,2015/08/03,電器用品,"$2,880",,貨到付款,,1,1,0,
000090,76,男,40,0,新北市,中和區,其他,"$674,211",0,1,,2015/08/03,食品飲料,"$1,063",,貨到付款,,2,1,1,8
001749,155,男,43,0,新北市,板橋區,其他,"$646,645",0,1,,2015/08/03,電器用品,"$5,218",簽帳金融卡,信用卡,0,1,1,0,
000090,76,男,40,0,新北市,中和區,其他,"$674,211",0,1,,2015/08/03,食品飲料,"$2,896",小資卡,信用卡,0,1,0,,
001644,18,男,42,1,新北市,三重區,大學,"$550,000",1,1,0,2015/08/03,美妝保健,"$1,002",,貨到付款,,1,1,1,10
000587,45,女,36,0,桃園縣,大溪鎮,高中(職),"$240,000",0,1,,2015/08/03,服飾用品,"$3,106",簽帳金融卡,信用卡,1,1,1,1,9
001057,137,女,36,1,高雄市,鹽埕區,其他,"$550,219",0,1,1,2015/08/03,電器用品,"$3,802",玉璽卡,信用卡,0,1,1,0,
001847,50,女,39,1,高雄市,左營區,大學,"$270,000",0,1,3,2015/08/03,服飾用品,"$1,175",玉璽卡,信用卡,0,2,0,,
001644,18,男,42,1,新北市,三重區,大學,"$550,000",1,1,0,2015/08/03,美妝保健,"$2,765",簽帳金融卡,信用卡,0,3,1,0,
001181,23,女,41,0,新北市,蘆洲區,高中(職),"$340,000",0,1,,2015/08/03,美妝保健,"$2,478",,貨到付款,,1,0,,
001659,253,男,34,1,高雄市,鹽埕區,高中(職),"$539,328",1,1,2,2015/08/03,電器用品,"$5,653",玉璽卡,信用卡,0,1,0,,
000783,100,女,31,1,彰化縣,秀水鄉,其他,"$391,500",1,1,2,2015/08/03,美妝保健,"$1,332",玉璽卡,信用卡,1,3,0,,
000149,13,男,55,1,桃園縣,龍潭鄉,其他,"$600,000",0,1,0,2015/08/03,美妝保健,$884,,貨到付款,,1,0,,
001913,22,女,36,1,新北市,淡水區,專科,"$671,364",0,1,3,2015/08/03,美妝保健,"$2,426",,貨到付款,,1,1,1,10
001431,19,女,37,1,雲林縣,二崙鄉,其他,"$345,789",1,1,1,2015/08/03,電器用品,"$3,426",小資卡,信用卡,0,3,1,0,
002070,480,男,35,0,嘉義市,嘉義市,大學,"$340,000",0,1,,2015/08/03,生活百貨,"$1,090",汽車卡,信用卡,0,1,1,0,
001913,22,女,36,1,新北市,淡水區,專科,"$671,364",0,1,3,2015/08/03,美妝保健,"$1,454",簽帳金融卡,信用卡,0,1,0,,
001210,109,女,38,1,基隆市,仁愛區,其他,"$500,000",0,1,0,2015/08/03,美妝保健,"$2,837",簽帳金融卡,信用卡,0,2,1,0,
001659,253,男,34,1,高雄市,鹽埕區,高中(職),"$539,328",1,1,2,2015/08/03,生活百貨,"$1,836",簽帳金融卡,信用卡,0,1,1,0,
001659,253,男,34,1,高雄市,鹽埕區,高中(職),"$539,328",1,1,2,2015/08/03,電器用品,"$4,337",簽帳金融卡,信用卡,0,2,1,0,
000308,39,男,35,0,台北市,文山區,大學,"$500,000",1,1,,2015/08/03,美妝保健,"$2,357",,ATM轉帳,,3,0,,
000090,76,男,40,0,新北市,中和區,其他,"$674,211",0,1,,2015/08/03,食品飲料,"$2,651",,ATM轉帳,,1,1,1,7
000113,40,男,29,0,新北市,三峽區,大學,"$610,250",1,1,,2015/08/03,食品飲料,$997,,ATM轉帳,,1,0,,
002238,30,男,44,0,高雄市,苓雅區,碩士以上,"$500,000",0,1,,2015/08/04,美妝保健,"$1,695",,ATM轉帳,,2,1,0,
002155,45,女,53,0,新北市,新莊區,大學,"$420,000",0,1,,2015/08/04,服飾用品,"$1,276",玉璽卡,信用卡,0,3,0,,
000093,58,女,32,1,台北市,信義區,大學,"$500,000",0,1,2,2015/08/04,服飾用品,"$2,218",玉璽卡,信用卡,0,1,1,1,14
000107,88,男,35,0,雲林縣,水林鄉,其他,"$365,909",0,1,,2015/08/04,食品飲料,"$1,903",,ATM轉帳,,2,0,,
000336,18,男,35,1,台南市,新營區,其他,"$375,556",0,1,3,2015/08/04,電器用品,"$3,695",簽帳金融卡,信用卡,0,2,0,,
001494,11,女,39,1,基隆市,信義區,其他,"$559,091",0,1,1,2015/08/04,美妝保健,$978,簽帳金融卡,信用卡,1,7,1,0,
002275,121,男,47,1,台南市,安南區,大學,"$800,000",1,1,0,2015/08/04,電器用品,"$3,288",,貨到付款,,2,1,0,
002039,62,女,33,0,台南市,北區,大學,"$240,000",0,1,,2015/08/04,美妝保健,"$3,498",簽帳金融卡,信用卡,1,2,1,1,11
001754,35,女,46,0,新竹縣,竹北市,大學,"$350,000",0,1,,2015/08/04,美妝保健,"$1,125",,貨到付款,,5,1,0,
000937,38,女,32,1,桃園縣,平鎮市,高中(職),"$300,000",0,1,1,2015/08/04,美妝保健,"$4,830",,貨到付款,,1,0,,
001687,98,男,36,1,桃園縣,平鎮市,其他,"$554,286",0,1,1,2015/08/04,服飾用品,"$1,606",,ATM轉帳,,2,0,,
000385,91,男,37,0,台北市,內湖區,碩士以上,"$1,030,000",1,0,,2015/08/04,服飾用品,"$1,081",,ATM轉帳,,5,1,0,
000937,38,女,32,1,桃園縣,平鎮市,高中(職),"$300,000",0,1,1,2015/08/04,美妝保健,"$1,005",玉璽卡,信用卡,1,1,0,,
000107,88,男,35,0,雲林縣,水林鄉,其他,"$365,909",0,1,,2015/08/04,服飾用品,"$1,082",簽帳金融卡,信用卡,0,1,1,0,
001857,16,女,34,1,台東縣,台東市,大學,"$330,000",1,1,1,2015/08/04,服飾用品,"$5,013",簽帳金融卡,信用卡,0,1,0,,
002068,33,男,32,1,新北市,三芝區,其他,"$340,000",0,1,1,2015/08/04,美妝保健,"$2,038",玉璽卡,信用卡,0,1,1,0,
001494,11,女,39,1,基隆市,信義區,其他,"$559,091",0,1,1,2015/08/04,美妝保健,"$2,504",玉璽卡,信用卡,0,1,1,0,
001903,61,女,28,1,高雄市,前鎮區,大學,"$240,000",1,1,2,2015/08/04,服飾用品,"$2,231",,貨到付款,,1,0,,
001494,11,女,39,1,基隆市,信義區,其他,"$559,091",0,1,1,2015/08/04,美妝保健,$865,小資卡,信用卡,0,1,0,,
000144,20,女,33,1,台中市,大里區,其他,"$500,000",0,0,3,2015/08/04,服飾用品,"$1,352",簽帳金融卡,信用卡,1,5,1,1,7
001890,67,女,44,0,新北市,新莊區,高中(職),"$400,000",0,1,,2015/08/04,服飾用品,"$1,136",小資卡,信用卡,0,1,0,,
000702,96,男,42,1,無資料,無資料,大學,"$552,604",1,0,1,2015/08/04,食品飲料,"$1,704",,貨到付款,,1,1,0,
001080,41,女,35,1,新北市,新莊區,大學,"$400,000",0,1,1,2015/08/04,服飾用品,"$1,943",玉璽卡,信用卡,0,2,0,,
002123,76,女,35,1,台北市,內湖區,其他,"$662,237",0,1,2,2015/08/04,美妝保健,"$3,973",,貨到付款,,1,0,,
001654,110,女,50,1,新北市,中和區,大學,"$550,000",0,0,1,2015/08/04,電器用品,"$4,532",簽帳金融卡,信用卡,1,1,0,,
000311,32,男,54,1,桃園縣,平鎮市,大學,"$600,000",1,0,1,2015/08/04,電器用品,"$3,943",,ATM轉帳,,1,1,0,
001836,164,男,32,1,桃園縣,中壢市,碩士以上,"$840,000",0,1,1,2015/08/04,食品飲料,"$2,605",玉璽卡,信用卡,0,2,1,0,
002039,62,女,33,0,台南市,北區,大學,"$240,000",0,1,,2015/08/04,服飾用品,$533,簽帳金融卡,信用卡,0,1,1,0,
